ID001,"Corporate HQ, Some_City, Some_State",Some_Country,"snmp-server location Corporate HQ, Some_City, Some_State, Some_Country",CORPORATE HQ Network Department,800-123-4567
ID002,"Branch Office A, Some_City, Some_State",Some_Country,"snmp-server location Branch Office A, Some_City, Some_State, Some_Country",Branch Office A Network Department,800-234-5678
ID003,"SITE_NAME, CITY, STATE",COUNTRY,"snmp-server location SITE_NAME, CITY, STATE, COUNTRY",Some Network Department,800-123-4567
ID004,"SITE_NAME, CITY, STATE",COUNTRY,"snmp-server location SITE_NAME, CITY, STATE, COUNTRY",Some Network Department,800-123-4567
ID005,"SITE_NAME, CITY, STATE",COUNTRY,"snmp-server location SITE_NAME, CITY, STATE, COUNTRY",Some Network Department,800-123-4567
ID006,"SITE_NAME, CITY, STATE",COUNTRY,"snmp-server location SITE_NAME, CITY, STATE, COUNTRY",Some Network Department,800-123-4567
ID007,"SITE_NAME, CITY, STATE",COUNTRY,"snmp-server location SITE_NAME, CITY, STATE, COUNTRY",Some Network Department,800-123-4567
ID008,"SITE_NAME, CITY, STATE",COUNTRY,"snmp-server location SITE_NAME, CITY, STATE, COUNTRY",Some Network Department,800-123-4567
ID009,"SITE_NAME, CITY, STATE",COUNTRY,"snmp-server location SITE_NAME, CITY, STATE, COUNTRY",Some Network Department,800-123-4567
ID010,"SITE_NAME, CITY, STATE",COUNTRY,"snmp-server location SITE_NAME, CITY, STATE, COUNTRY",Some Network Department,800-123-4567
ID011,"SITE_NAME, CITY, STATE",COUNTRY,"snmp-server location SITE_NAME, CITY, STATE, COUNTRY",Some Network Department,800-123-4567
ID012,"SITE_NAME, CITY, STATE",COUNTRY,"snmp-server location SITE_NAME, CITY, STATE, COUNTRY",Some Network Department,800-123-4567
ID013,"SITE_NAME, CITY, STATE",COUNTRY,"snmp-server location SITE_NAME, CITY, STATE, COUNTRY",Some Network Department,800-123-4567
ID014,"SITE_NAME, CITY, STATE",COUNTRY,"snmp-server location SITE_NAME, CITY, STATE, COUNTRY",Some Network Department,800-123-4567
ID015,"SITE_NAME, CITY, STATE",COUNTRY,"snmp-server location SITE_NAME, CITY, STATE, COUNTRY",Some Network Department,800-123-4567
